"","code","description","unit","mult","freq","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"21","FA154023005.A","Households and nonprofit organizations; loans; asset","Currency","1000000","203","3180.0","2471.0","2048.0","1240.0","1393.0","1026.0","1901.0","4371.0","5018.0","-523.0","3092.0","-3358.0","13.0","825.0","3223.0","8704.0","4415.0","415.0","13440.0","12593.0","14271.0","11247.0","22244.0","-588.0","6451.0","26128.0","5657.0","-4401.0","6240.0","19058.0","19633.0","32307.0","-15896.0","19303.0","-5067.0","22548.0","37007.0","22919.0","68207.0","65060.0","114298.0","47398.0","-52197.0","84619.0","127365.0","-911.0","70796.0","220375.0","-159227.0","-47649.0","1590.0","-5005.0","12577.0","51371.0","51497.0","-60224.0"
"22","FA794035005.A","Domestic financial sectors; total loans including security repurchase agreements; asset","Currency","1000000","203","25357.0","26429.0","35328.0","46157.0","47088.0","56153.0","43548.0","45355.0","53320.0","67726.0","50739.0","83184.0","135329.0","163971.0","138773.0","38161.0","148224.0","223314.0","273398.0","297491.0","208016.0","254319.0","183226.0","301084.0","469740.0","482531.0","524779.0","399442.0","473053.0","425759.0","165295.0","103334.0","231103.0","327438.0","436998.0","704849.0","619639.0","767185.0","898717.0","1146340.0","1069681.0","901874.0","1047900.0","1145223.0","1897159.0","2057677.0","2107798.0","2698516.0","1472703.0","-2928643.0","-492859.0","128875.0","433442.0","133799.0","834350.0","730539.0"
"23","FA364123005.A","General government; loans; liability","Currency","1000000","203","610.0","448.0","764.0","295.0","291.0","332.0","565.0","112.0","244.0","665.0","2.0","293.0","259.0","215.0","570.0","99.0","1945.0","92.0","-1653.0","78.0","820.0","1129.0","848.0","1028.0","7641.0","8110.0","1401.0","-2374.0","-3303.0","-233.0","875.0","363.0","-143.0","-714.0","396.0","138.0","-4847.0","5138.0","128.0","-1629.0","379.0","100.0","631.0","78.0","318.0","626.0","595.0","666.0","835.0","820.0","867.0","869.0","412.0","542.0","369.0","271.0"
"24","FA364090005.A","General government; total financial assets","Currency","1000000","203","3530.0","5021.0","6716.0","7301.0","7790.0","9401.0","8689.0","5290.0","11917.0","10023.0","5833.0","13790.0","17466.0","26850.0","13729.0","25213.0","44957.0","49093.0","78240.0","64101.0","51956.0","50450.0","54252.0","59923.0","98332.0","211258.0","92443.0","66794.0","38818.0","79566.0","116112.0","119774.0","-16140.0","4801.0","-29830.0","-39007.0","35363.0","95980.0","140765.0","172925.0","6439.0","153956.0","83947.0","80237.0","178969.0","282324.0","195525.0","240722.0","470373.0","267875.0","361840.0","-179598.0","191436.0","208334.0","242267.0","397603.0"
"25","FU157005045.A","Households and nonprofit organizations; statistical discrepancy (IMA)","Currency","1000000","203","-9746.0","-2363.0","-2743.0","-5438.0","-10360.0","-12085.0","-22123.0","-8173.0","-22912.0","-22005.0","-25830.0","-19715.0","-27900.0","-41300.0","-11653.0","-18935.0","-39780.0","-51930.0","-39125.0","-37653.0","-78152.0","-89380.0","-75670.0","-115179.0","-70712.0","-41583.0","-203140.0","-142845.0","-121765.0","-1788.0","-216812.0","-54638.0","-55579.0","-118751.0","-96841.0","-86851.0","-109645.0","-41688.0","-90397.0","-7925.0","270424.0","108724.0","255956.0","61025.0","-174968.0","54386.0","207480.0","-256397.0","-757136.0","34229.0","-276074.0","-703324.0","-156861.0","-570032.0","-252126.0","-359579.0"
"26","FA794190005.A","Domestic financial sectors; total liabilities ","Currency","1000000","203","52033.0","62539.0","72602.0","79913.0","88939.0","98218.0","93143.0","118007.0","141602.0","140012.0","164209.0","210283.0","267463.0","280797.0","242207.0","238946.0","325326.0","390555.0","477321.0","506198.0","531909.0","650321.0","641296.0","749647.0","933042.0","1113422.0","1303485.0","961235.0","1044271.0","928394.0","738328.0","864886.0","1107554.0","1394924.0","1266794.0","1604301.0","1813332.0","2307447.0","2715096.0","2790942.0","2859673.0","3251400.0","2641053.0","3073973.0","3855151.0","3440826.0","4368427.0","5356803.0","3883067.0","-1235449.0","93755.0","2127128.0","1747506.0","3352385.0","3053728.0","1520941.0"
"27","FA114023005.A","Nonfinancial noncorporate business; loans; asset","Currency","1000000","203","-223.0","-72.0","185.0","238.0","226.0","261.0","-52.0","-116.0","-20.0","160.0","517.0","1058.0","1043.0","92.0","-246.0","-556.0","712.0","874.0","2066.0","2312.0","483.0","7997.0","4597.0","4344.0","10006.0","4672.0","693.0","-6767.0","9937.0","-12700.0","-4094.0","-5028.0","-855.0","-3319.0","1950.0","-2053.0","-1361.0","-1643.0","7556.0","-2212.0","-653.0","3363.0","-630.0","117.0","4552.0","5346.0","-1544.0","7443.0","-2972.0","-1207.0","4168.0","-5806.0","-2413.0","997.0","1701.0","2714.0"
"28","FA154190005.A","Households and nonprofit organizations; total liabilities","Currency","1000000","203","17848.0","18373.0","22136.0","28958.0","29435.0","29401.0","22896.0","34986.0","25047.0","29123.0","18927.0","45436.0","61420.0","65443.0","56038.0","58870.0","88493.0","131647.0","164966.0","166274.0","113907.0","102872.0","88501.0","183791.0","223739.0","333506.0","267276.0","253158.0","276838.0","292354.0","239228.0","208570.0","208639.0","268743.0","329021.0","331632.0","349411.0","352849.0","441158.0","555276.0","585555.0","625056.0","783916.0","1044725.0","1151375.0","1159188.0","1275053.0","962251.0","9979.0","76273.0","-99748.0","-69859.0","263557.0","235682.0","423189.0","393779.0"
"29","FA264190005.A","Rest of the world; total liabilities","Currency","1000000","203","5809.0","6087.0","4986.0","6846.0","8808.0","8000.0","8030.0","10528.0","11765.0","10151.0","9745.0","12431.0","13929.0","23516.0","27774.0","30577.0","38081.0","27170.0","40585.0","55196.0","66509.0","62137.0","42311.0","50601.0","33333.0","31924.0","56981.0","38405.0","32290.0","103483.0","83908.0","61007.0","82801.0","204288.0","164538.0","292241.0","352181.0","352415.0","296784.0","406214.0","423290.0","238970.0","273669.0","453159.0","774964.0","349707.0","949822.0","1319048.0","-98354.0","172966.0","819290.0","633037.0","388330.0","782421.0","804424.0","427793.0"
"30","FU267005005.A","Rest of the world; sector discrepancy (FOF basis)","Currency","1000000","203","-1710.0","-1511.0","-2424.0","-1872.0","-2906.0","-1533.0","-860.0","-1492.0","-921.0","-9176.0","-3990.0","-14362.0","-2384.0","1314.0","-1700.0","2306.0","11113.0","-10056.0","-3459.0","23149.0","20843.0","10343.0","-16578.0","23924.0","22242.0","32803.0","33097.0","16946.0","-32092.0","48207.0","23806.0","-3259.0","-45623.0","11176.0","-7086.0","55039.0","-4639.0","-21943.0","118233.0","117517.0","82245.0","8203.0","44407.0","190639.0","172136.0","26333.0","274387.0","566519.0","-78978.0","354430.0","178375.0","66476.0","-1168.0","23210.0","77787.0","441967.0"
"31","FA365000905.A","General government; net lending (+) or borrowing (-) (capital account)","Currency","1000000","203","-12725.0","-20637.0","-21361.0","-17876.0","-22502.0","-21073.0","-25436.0","-39490.0","-32512.0","-21652.0","-49263.0","-63065.0","-52115.0","-39208.0","-51645.0","-123554.0","-96370.0","-80499.0","-73204.0","-67976.0","-115528.0","-113690.0","-201484.0","-242260.0","-224125.0","-248057.0","-270465.0","-237379.0","-217869.0","-225682.0","-296460.0","-352323.0","-441189.0","-406512.0","-330872.0","-319110.0","-244251.0","-139607.0","-37363.0","-2836.0","81136.0","-149717.0","-523366.0","-684355.0","-675524.0","-556312.0","-429800.0","-535130.0","-1054957.0","-1847056.0","-1818962.0","-1666728.0","-1447012.0","-907989.0","-873226.0","-763275.0"
"32","FU797005045.A","Domestic financial sectors; statistical discrepancy (IMA)","Currency","1000000","203","-936.0","-1215.0","31.0","1270.0","-519.0","-107.0","-7.0","-9011.0","5838.0","4448.0","3978.0","1154.0","4806.0","-4355.0","3850.0","2665.0","-1748.0","-138.0","-5492.0","-12318.0","-32385.0","-1485.0","11787.0","-32324.0","-10481.0","-24432.0","-41629.0","-49008.0","-26891.0","-89342.0","-37021.0","-32986.0","13099.0","-78151.0","-5002.0","-119385.0","-21461.0","-40128.0","-62519.0","-89006.0","-29278.0","2276.0","62005.0","-107873.0","61782.0","-316332.0","-214399.0","-219265.0","11473.0","298518.0","258712.0","109817.0","25535.0","-202484.0","13027.0","-125082.0"
"33","FA114190005.A","Nonfinancial noncorporate business; total liabilities ","Currency","1000000","203","4476.0","6464.0","8050.0","9459.0","10136.0","12770.0","11981.0","11193.0","12043.0","16120.0","14244.0","28524.0","31748.0","35575.0","19737.0","12983.0","21779.0","39287.0","51683.0","63433.0","35063.0","77508.0","35294.0","34599.0","69205.0","82767.0","66585.0","30307.0","78739.0","43376.0","19395.0","3738.0","24047.0","28952.0","84487.0","92587.0","130985.0","174394.0","270069.0","242311.0","312203.0","201246.0","125828.0","127907.0","429960.0","491260.0","583778.0","536490.0","134402.0","-161837.0","122444.0","211926.0","331839.0","367530.0","313691.0","407017.0"
